"統一編號","AEO編號","出口人中文名稱"
"23218022","TWAEO-103000025","矽格股份有限公司"
"84149456","TWAEO-104000026","矽格聯測股份有限公司"
"27951609","TWAEO-108000019","群聯電子股份有限公司竹南分公司"
"11384708","TWAEO-105000007","長春人造樹脂廠股份有限公司"
"70848839","TWAEO-104000014","日月光半導體製造股份有限公司中壢分公司"
"22327466","TWAEO-104000036","立端科技股份有限公司"
"70647919","TWAEO-100000038","台灣精銳科技股份有限公司"
"86436593","TWAEO-109000011","翔名科技股份有限公司"
"89549184","TWAEO-112000006","榮昌科技股份有限公司"
"16130599","TWAEO-99000007","友達光電股份有限公司桃園分公司"
"84149786","TWAEO-104000028","晶元光電股份有限公司"
"97331723","TWAEO-102000060","啟碁科技股份有限公司"
"84149738","TWAEO-100000006","友達光電股份有限公司"
"23446187","TWAEO-113000013","創見資訊股份有限公司"
"59619900","TWAEO-111000003","建大工業股份有限公司"